group_id,language,level,group_number,word1,definition1,word2,definition2,word3,definition3,word4,definition4,word5,definition5,sentence,prompt,image
28,Spanish,3,2,carro,"car, automobile",abrigo,coat,hijo,son,y,and,perro,dog,,,
29,Spanish,3,3,hermano,brother,esposa,wife,esposo,husband,grande,big,hija,daughter,,,
30,Spanish,3,4,sombrero,hat,barato,cheap,casa,house,perfecto,perfect,azul,blue,,,
31,Spanish,3,5,elegante,elegant,chaqueta,jacket,vestido,dress,vivo,"alive, brighter, live",falda,skirt,,,
32,Spanish,3,6,familia,family,hermana,sister,apartamento,apartment,reloj,"watch, clock",favorita,favorite,,,
33,Spanish,3,7,bicicleta,bicycle,abuelo,grandfather,cómoda,"dresser, comfortable, convenient",marrón,brown,padre,"father, dad",,,
34,Spanish,3,8,tienda,store,interesante,interesting,ropa,clothes,abuela,grandmother,cartera,"purse, bag, wallet",,,
35,Spanish,3,9,este,this,tienes,"have, are, there's",camisa,"shirt, blouse, top",muy,very,diferente,different,,,
36,Spanish,3,10,bonito,pretty,verde,green,rojo,red,comprar,to buy,caro,expensive,,,
37,Spanish,3,11,ese,that,camiseta,T-shirt,gato,cat,cinturón,belt,gris,"gray, grey",,,
38,Spanish,3,12,carro,"car, automobile",abrigo,coat,hijo,son,y,and,perro,dog,,,
39,Spanish,3,13,hermano,brother,esposa,wife,esposo,husband,grande,big,hija,daughter,,,
40,Spanish,4,1,americana,American,buenas tardes,"good afternoon, good evening",difícil,difficult,universidad,"university, college",escribo,"contribute, (I) write, (I) am writing",,,
41,Spanish,4,2,España,Spain,estoy,"I'm, am, I am",señorita,"lady, miss, Ms.",clase,class,me llamo,my name is,,,
42,Spanish,4,3,cubano,Cuban,examen,exam,importante,important,estás,"you are, are, you're",bien,"ok, fine, well-to-do",,,
43,Spanish,4,4,pregunta,question,cómo,"how's, what, how",medicina,medicine,señora,"ma'am, woman, lady",mexicano,Mexican,,,
44,Spanish,4,5,estudio,"(I) am studying, study, (I) study",cubana,Cuban,estudiar,to study,cansado,"tired, made … tired, tired oneself out",libro,book,,,
45,Spanish,4,6,nombre,name,fácil,easy,profesor,professor,comprendo,understand,estudiante,student,,,
46,Spanish,4,7,mexicana,mexican,usted,"you, you'll",hasta mañana,see you tomorrow,leo,"I read, read, Leo",escribir,to write,,,
47,Spanish,4,8,demasiado,too,americano,American,maestro,teacher,escribes,"writing, (you) write, (?) are you writing",hasta luego,"see you later, I'll see you later",,,
48,Spanish,4,9,cansada,"tired, made … tired, tired oneself out",mucho,a lot,lees,"read, (you) are reading, (you) read",leer,to read,estudias,"(you) study, (?) have you been studyin, (?) do you study",,,
49,Spanish,4,10,bolígrafo,pen,computadora,computer,problema,"problems, matter, trouble",regalo,gift,escuela,school,,,
50,Spanish,4,11,americana,American,buenas tardes,"good afternoon, good evening",difícil,difficult,universidad,"university, college",escribo,"contribute, (I) write, (I) am writing",,,
51,Spanish,4,12,España,Spain,estoy,"I'm, am, I am",señorita,"lady, miss, Ms.",clase,class,me llamo,my name is,,,
52,Spanish,4,13,cubano,Cuban,examen,exam,importante,important,estás,"you are, are, you're",bien,"ok, fine, well-to-do",,,
53,Spanish,5,1,sábado,"Saturday, Sabbath",te llamas,"your name is, (?) is your name",uso,"(I) am wearing, (I) am using, (I) use",hablar,"to speak, to talk, (to) talk about",hoy,"today, nowadays",,,
54,Spanish,5,2,fiesta,"party, holiday, don't",jueves,"Thursday, Thursdays",lunes,"Monday, Mondays",béisbol,baseball,cómo está,how's,,,
55,Spanish,5,3,mañana,"tomorrow, morning, future",cuándo,when,día,day,ayuda,"help, (you-formal) help, (he/she/it) helps",fin de semana,weekend,,,
56,Spanish,5,4,ocupado,"busy, been on the game, concerned",divertido,fun,banana,banana,señor,"Mr., sir, gentleman",té,"tea, tea party",,,
57,Spanish,5,5,mal,"unwell, bad, ill",película,"movie, film",viernes,"Friday, Fridays",usas,"(?) do you use, (?) are you using, (?) do you wear",favorito,favorite,,,
58,Spanish,5,6,se llama,"(her) name is, (his) name is, (it) is called",francés,French,cumpleaños,"birthday, birthday party, birthdays",partido,"game, match, departed",estudia,"(you) study, (she) studies, (?) does he study",,,
59,Spanish,5,7,baile,"dance, dance!, dance hall",usa,"(she) is using, (he) is using, (?) does he wear",ocupada,busy,miércoles,"Wednesday, Wednesdays",necesitas,"(you) need, (?) do you need, need",,,
60,Spanish,5,8,necesita,"(?) does she need, (you) need, (?) does he need",fútbol,"soccer, football",feliz,"happy, apt, felicitous",disfruta,"(you) enjoy, (he) enjoys, (he) is enjoying",usar,"to use, to wear",,,
61,Spanish,5,9,domingo,"Sunday, Sabbath, allowance",divertida,"funny, fun",quiere,"mean, wants, (?) do you want",habla,"(he) is speaking, (?) does he speak, speaks",qué,"what, how",,,
62,Spanish,5,10,semana,"week, allowance, pocket money",concierto,"concert, (I) arrange, (I) agree",quieres,"(?) do you want, (you) want, (you) love",más,"more, any more, most",martes,"Tuesday, Tuesdays",,,
63,Spanish,5,11,sábado,"Saturday, Sabbath",te llamas,"your name is, (?) is your name",uso,"(I) am wearing, (I) am using, (I) use",hablar,"to speak, to talk, (to) talk about",hoy,"today, nowadays",,,
64,Spanish,5,12,fiesta,"party, holiday, don't",jueves,"Thursday, Thursdays",lunes,"Monday, Mondays",béisbol,baseball,cómo está,how's,,,
65,Spanish,5,13,mañana,"tomorrow, morning, future",cuándo,when,día,day,ayuda,"help, (you-formal) help, (he/she/it) helps",fin de semana,weekend,,,
66,Spanish,6,1,biblioteca,"library, bookcase, bookshelves",aprender,"to learn, learning, learn",ciudad,"city, town",esta,this,joven,"young, young man, young woman",,,
67,Spanish,6,2,Inglaterra,England,trabajas,"(?) have you been working, (?) do you work, you've worked",Europa,Europe,número,"number, act, constable",portugués,Portuguese,,,
68,Spanish,6,3,cuatro,"four, number four, four-stringed guitar",clases,"classes, to have classes, classrooms",celular,"cell phone, cellphone, cell",beber,"to drink, drink, drinking",novia,"girlfriend, bride, fiancée",,,
69,Spanish,6,4,bibliotecas,"libraries, bookshelves, bookcase",trabajar,to work,comer,"to eat, eat, eating",aprendo,"(I) am learning, learning, (I) learn",oficina,office,,,
70,Spanish,6,5,pueblo,"town, people, small town",bolígrafos,"pens, ballpoint pens",estudiantes,"students, university students, college students",ocho,"eight, number eight",médica,"doctor, medical",,,
71,Spanish,6,6,amigo,"friend, buddy, bud",novio,"boyfriend, fiancé, groom",vivir,"to live, live, (to) be alive",libros,books,cinco,"five, moment",,,
72,Spanish,6,7,vives,"live, (?) do you live, (you) live",amiga,friend,ser,"(to) be, be, made",computadoras,computers,vive,"(he) lives, live, (?) do you live",,,
73,Spanish,6,8,dirección,"direction, address, setting",aprende,"(she) is learning, (he) learns, (she) learns",maestra,teacher,trabajo,"work, (I) work, jobs",vino,"wine, (he/she/it/you) came, (he/she/it/you) arrived",,,
74,Spanish,6,9,camarero,"waiter, barman, bellboy",aprendes,"(?) are you learning, (you) learn, learn",preguntas,questions,fábrica,"factory, stonework",camarera,"waitress, barmaid, maid",,,
75,Spanish,6,10,Francia,France,quién,"who, who (singular), whom",médico,doctor,trabaja,"work, (you) are working, (she) is working",cero,"zero, nought, love",,,
76,Spanish,6,11,biblioteca,"library, bookcase, bookshelves",aprender,"to learn, learning, learn",ciudad,"city, town",esta,this,joven,"young, young man, young woman",,,
77,Spanish,6,12,Inglaterra,England,trabajas,"(?) have you been working, (?) do you work, you've worked",Europa,Europe,número,"number, act, constable",portugués,Portuguese,,,
78,Spanish,6,13,cuatro,"four, number four, four-stringed guitar",clases,"classes, to have classes, classrooms",celular,"cell phone, cellphone, cell",beber,"to drink, drink, drinking",novia,"girlfriend, bride, fiancée",,,
79,Spanish,7,1,nuevo,"new, newer, newest",negocio,"business, store, deal",qué tal,"how's, (?) how are you, how",española,Spanish,pequeña,"little, tiny, small",,,
80,Spanish,7,2,simpática,nice,carta,"letter, card",ahora,"now, a moment ago",su,"his, her, your formal",enojado,"annoyed, mad, angry",,,
81,Spanish,7,3,pequeño,"small , little ones, shorts",conmigo,with me,enfermo,"sick, ill",las,"your, the, their",bajo,short,,,
82,Spanish,7,4,cuál,"what, which, which one",tener,"to have, have",hijos,"children, sons",simpático,"nice, sympathetic, pleasant",los,"the, their, your",,,
83,Spanish,7,5,contento,"happier, happy, glad",mascota,"pets, pet, mascot",mensaje,"message, text",seis,six,correo electrónico,email,,,
84,Spanish,7,6,contigo,with you,aburrido,"boring, bored, uninteresting",diez,ten,papá,"dad, father",escritorio,desk,,,
85,Spanish,7,7,inglesa,English,secretario,"secretary, minister",por qué,"why, reason",emocionar,"move, moves",poco,"little, bit, a while",,,
86,Spanish,7,8,triste,"sad, dismal, gloomy",nueve,nine,año,year,escribe,"(?) does she write, (he) is writing, (you) write",siete,"seven, number seven, tear",,,
87,Spanish,7,9,también,"also, too, as well",lee,"lees, (she) is reading, read",jefe,"boss, manager",alta,"tall, high",alto,"tall, high, high ground",,,
88,Spanish,7,10,siempre,"always, providing (that), provided (that)",bonita,"nice, pretty, beautiful",baja,"turns down, goes down, low",italiano,Italian,preocupado,"anxious, worried, concerned",,,
89,Spanish,7,11,nuevo,"new, newer, newest",negocio,"business, store, deal",qué tal,"how's, (?) how are you, how",española,Spanish,pequeña,"little, tiny, small",,,
90,Spanish,7,12,simpática,nice,carta,"letter, card",ahora,"now, a moment ago",su,"his, her, your formal",enojado,"annoyed, mad, angry",,,
91,Spanish,7,13,pequeño,"small , little ones, shorts",conmigo,with me,enfermo,"sick, ill",las,"your, the, their",bajo,short,,,
92,Spanish,8,1,unas,"some, a few, a",bebé,baby,dormir,"to sleep, sleep, (to) fall asleep",nosotras,"we, we (feminine), us",usamos,"(we) used, (we) wear, (we) use",,,
93,Spanish,8,2,ellas,"they, them",somos,"we are, are, be",ustedes,"you guys, you, you all",carteras,"purses, wallets, satchels",cuántas,how many,,,
94,Spanish,8,3,muchos,"lots of, a lot of, many",a veces,sometimes,bonitos,"beautiful, nice, pretty",unos,"some, an, ones",muchas,"many, a lot of, lots of",,,
95,Spanish,8,4,pantalón,"trousers, pants",hablamos,"(we) speak, (we) are talking, speak",hablan,"spoken, speaks, speak",ciudades,"cities, towns",hombres,men,,,
96,Spanish,8,5,grandes,"big, too big, large",necesitamos,"(?) do we need, (we) need, need",un poco,"slightly, any, kind of",otra vez,again,me siento,"I've been feeling (since), I feel, I'm feeling",,,
97,Spanish,8,6,estudiamos,"study, (we) study, (we) studied",vacaciones,"vacation, vacations",verdes,"green, green (plural), 000 peseta note",mamá,"mom, mother",te sientes,"(?) do you feel, (?) are you feeling, (you)  feel",,,
98,Spanish,8,7,nosotros,"we, us",nunca,never,disfrutar,"to enjoy, enjoy",se siente,"(he) feels, (she) feels, (she) is feeling",nuevos,"new, newer, newest",,,
99,Spanish,8,8,estudian,"(they) are studying, (they) study, investigate",señoras,"ladies, Mrs.",son,"(?) are they, are, (they) are",bonitas,"nice, pretty, beautiful",mujeres,"women, wives",,,
100,Spanish,8,9,universidades,"universities, colleges",interesantes,interesting,fines de semana,weekends,ellos,"they, them",señores,"men, gentlemen, sirs",,,
101,Spanish,8,10,zapato,shoe,cuánto,"how much, what, how long",nuevas,"new, newer, newest",sorprendido,"surprised, shocked",jugador,player,,,
102,Spanish,8,11,unas,"some, a few, a",bebé,baby,dormir,"to sleep, sleep, (to) fall asleep",nosotras,"we, we (feminine), us",usamos,"(we) used, (we) wear, (we) use",,,
103,Spanish,8,12,ellas,"they, them",somos,"we are, are, be",ustedes,"you guys, you, you all",carteras,"purses, wallets, satchels",cuántas,how many,,,
104,Spanish,8,13,muchos,"lots of, a lot of, many",a veces,sometimes,bonitos,"beautiful, nice, pretty",unos,"some, an, ones",muchas,"many, a lot of, lots of",,,
105,Spanish,9,1,al,"to the, with, your",cerca,"close, near, nearby",queremos,"want, (we) want, love",escribimos,"(we) wrote, write, (we) write",leemos,"(we) are reading, (we) read, read",,,
106,Spanish,9,2,comen,"(?) do you eat, (?) are you eating, (they) eat",ir,"to go, (to) go, (to) go out",tus,"your, your (plural)",derecha,"right, right hand, right-hand",rojas,red,,,
107,Spanish,9,3,bueno,"well, all right, anyway",periódico,"newspaper, daily newspaper",arroz,rice,comida,"eaten, food, meal",viajar,"to travel, travel",,,
108,Spanish,9,4,estas,these,tomar,"to take, (to) take in, (to) have",quieren,"(they) want, (?) do you want, want",puerta,"door, gate",usan,"(they) use, (they) are wearing, wear",,,
109,Spanish,9,5,mis,my,comemos,"(we) eat, (we) are eating, (?) do you eat",sus,"your, his plural, her plural",al lado,next to,lejos,"far, far away, by far",,,
110,Spanish,9,6,vivimos,"live, (we) lived, (we) have lived",tarde,"late, afternoon, evening",casas,"houses, homes, you quash",parada,"stops, stop, caught",caminar,"to walk, walk",,,
111,Spanish,9,7,pequeños,"little, small, young",sándwiches,sandwiches,junto,"next, along, together",izquierda,left,estación,"station, stations, season",,,
112,Spanish,9,8,cerca de,close to,del,"of the, to the",restaurantes,restaurants,pequeñas,"little, small, tiny",necesitan,"(you) need, (they) need, need",,,
113,Spanish,9,9,rojos,red,estamos,"have been (since), (?) are we, (we) are",metro,"meters, meter, subway",correos electrónicos,emails,estos,these,,,
114,Spanish,9,10,playa,"beach, beaches",están,"you are, are, (they/you-plural) are",parque,"park, parks, parked",pollo,chicken,verano,"summer, summertime",,,
115,Spanish,9,11,al,"to the, with, your",cerca,"close, near, nearby",queremos,"want, (we) want, love",escribimos,"(we) wrote, write, (we) write",leemos,"(we) are reading, (we) read, read",,,
116,Spanish,9,12,comen,"(?) do you eat, (?) are you eating, (they) eat",ir,"to go, (to) go, (to) go out",tus,"your, your (plural)",derecha,"right, right hand, right-hand",rojas,red,,,
117,Spanish,9,13,bueno,"well, all right, anyway",periódico,"newspaper, daily newspaper",arroz,rice,comida,"eaten, food, meal",viajar,"to travel, travel",,,
118,Spanish,10,1,algo,"something, anything, a little",viven,"(?) do you live, (they) live, are living",van,"(you) go, go, (they) will",te gusta,"(you) like, (?) do you like, you",perros,dogs,,,
119,Spanish,10,2,televisión,"television, TV",leen,"(they) read, (you) are reading, (?) do you read",compran,"(they) buy, get, (they) are buying",porque,because,dibujar,"to draw, draw, to sketch",,,
120,Spanish,10,3,abren,"drive, get, (they) are opening",beben,"(?) are they drinking, (they) drink, drinks",vas,"(you) go, go, (you) are going",me encanta,love,aprendemos,"(we) learn, learn, (we) are learning",,,
121,Spanish,10,4,salimos,"(we) went out, (we) go out, leave",abrimos,"(we) open, we, (we) opened",salen,"(they) go out, (they) leave, (?) do they leave",abrir,"to open, (to) open out, (to) open up",noche,"night, evening",,,
122,Spanish,10,5,cine,"theater, movie theater, cinema",aprenden,"(they) learn, (they) are learning, (?) are you learning",trabajamos,"work, (we) worked, (we) work",chico,"boy, small",chocolate,chocolate,,,
123,Spanish,10,6,música,"music, composer, harmonica",va,"is, there is going to, (she) goes",escriben,"(they) are writing, (?) do you write, (they) write",voy,"go, I will leave, going",jugar,"to play, (to) play with, (to) game",,,
124,Spanish,10,7,me gusta,"(I) like, like",viejo,"old, old man",sábados,"Saturdays, Saturday, Sabbath",piscina,"pool, swimming pool",todo,"all, whole, everybody",,,
125,Spanish,10,8,días,days,trabajan,"(?) do they work, work, they've worked",a menudo,often,pero,"but, only",media,"meant, average, thirty",,,
126,Spanish,10,9,mirar,"to look, (to) look at, (to) watch",pastel,cake,correr,"to run, run, to race",compramos,"(?) are we buying, (we) bought, (we) buy",toma,"(she) takes, takes, (he) takes",,,
127,Spanish,10,10,te encanta,"(?) do you love, love",tomamos,"(?) should we have, made, we're drinking",salir,"to leave, to go out, to come out",vamos,"let's, we're going, (we) are going",nadar,"to swim, swimming, swim",,,
128,Spanish,10,11,algo,"something, anything, a little",viven,"(?) do you live, (they) live, are living",van,"(you) go, go, (they) will",te gusta,"(you) like, (?) do you like, you",perros,dogs,,,
129,Spanish,10,12,televisión,"television, TV",leen,"(they) read, (you) are reading, (?) do you read",compran,"(they) buy, get, (they) are buying",porque,because,dibujar,"to draw, draw, to sketch",,,
130,Spanish,10,13,abren,"drive, get, (they) are opening",beben,"(?) are they drinking, (they) drink, drinks",vas,"(you) go, go, (you) are going",me encanta,love,aprendemos,"(we) learn, learn, (we) are learning",,,
131,Spanish,11,1,cuchillo,knife,se ducha,"(she) showers, (he) showers, showers",cuchara,spoon,cocina,"(he) is cooking, (you) cook, kitchen",blanco,white,,,
132,Spanish,11,2,debajo,under,hora,"hour, time",planta,"plants, plant, floor",hay,"there is, there are, there's",tenedor,fork,,,
133,Spanish,11,3,ventana,window,te levantas,"(you) get up, (you) are getting up, (?) do you get up",estantería,"bookcase, bookshelf, shelf",domingos,"Sundays, Sunday, Sabbath",pintar,"to paint, to draw, paint",,,
134,Spanish,11,4,jardín,"garden, yard",tiene que,"(you) have to, (he) needs to, (she) must",doce,"twelve, number twelve",me ducho,"(I) shower, shower",plato,"dish, course, plate",,,
135,Spanish,11,5,puede traer,(?) can you bring,a qué hora,"when, (?) what time",habitación,"room, bedroom",sobre,"on, about, on top of",celulares,cell phones,,,
136,Spanish,11,6,bebida,drink,silla,chair,cama,bed,me levanto,(I) get up,tienen,"(they) are, (?) is there, make",,,
137,Spanish,11,7,limpiar,"to clean, (to) ice, (to) clear",tinto,red,te duchas,"(?) do you shower, (you) shower, (?) are you showering",nevera,"fridge, refrigerator",moderno,"modern, fashionable",,,
138,Spanish,11,8,tenemos,"we're having, (we) are, (?) do we have",se levanta,"(he) gets up, (?) does he get up, (?) are you getting up",cerveza,beer,patata,potato,tienes que,"(you) need, (you) have to, (you) must",,,
139,Spanish,11,9,otro,"other, another one, another",tengo que,"(I) need to, (I) have to, have",menús,menus,frijol,"food, bean",quisiera,"(I) would like, (I) wish, wanted",,,
140,Spanish,11,10,dormitorio,"room, bedroom, dormitory",sala,"lounge, living room, room",once,"eleven, number eleven",teléfonos,"phones, telephones",botella,bottle,,,
141,Spanish,11,11,cuchillo,knife,se ducha,"(she) showers, (he) showers, showers",cuchara,spoon,cocina,"(he) is cooking, (you) cook, kitchen",blanco,white,,,
142,Spanish,11,12,debajo,under,hora,"hour, time",planta,"plants, plant, floor",hay,"there is, there are, there's",tenedor,fork,,,
143,Spanish,11,13,ventana,window,te levantas,"(you) get up, (you) are getting up, (?) do you get up",estantería,"bookcase, bookshelf, shelf",domingos,"Sundays, Sunday, Sabbath",pintar,"to paint, to draw, paint",,,
144,Spanish,12,1,trece,"thirteen, (number) thirteen",dólar,dollar,menor,"little, younger, youngest",buscar,"to look for, (to) look for, (to) look up",mí,me,,,
145,Spanish,12,2,peso,"(I) weigh out, shot, weight",ti,"you, yourself",familias,families,piano,piano,de compras,shopping,,,
146,Spanish,12,3,dieciséis,sixteen,cierra,"(you) close, (?) does it close, lock",diecinueve,"nineteen, number nineteen",deporte,"sport, sports",me puedo probar,(?) can I try on,,,
147,Spanish,12,4,veinte,"twenty, (number) twenty",se llaman,"(?) are the names of, their names are, (they) are called",le encanta,"loves, (he) loves, (?) do you love",talla,"size, carve",nervioso,"nervous, tense",,,
148,Spanish,12,5,tocar,"to play, to touch, (to) touch",probador,fitting room,felices,happy,catorce,fourteen,cuestan,"(they) cost, (?) do they cost, are",,,
149,Spanish,12,6,cuesta,"is, it's hard, (it) is",escuchar,"hear, (to) listen, (to) listen to",marido,husband,películas,"movies, films",conciertos,"concerts, concert",,,
150,Spanish,12,7,le gusta,"(he) likes, likes, (?) do you like",quince,"fifteen, (number) fifteen",emocionados,excited,frito,"fried, fry",sopa,soup,,,
151,Spanish,12,8,abre,"(it) opens, (?) does it open, open",tristes,sad,en efectivo,with cash,tarjeta de crédito,"credit card, credit",guitarra,guitar,,,
152,Spanish,12,9,postre,dessert,baloncesto,basketball,nos encanta,"we love, love",nos gusta,"(we) like, like",mayor,"elderly, old, biggest",,,
153,Spanish,12,10,precio,"price, charge, deal",padres,"parents, fathers",diecisiete,"seventeen, number seventeen",nuestro,"our, ours",dieciocho,"eighteen, number eighteen",,,
154,Spanish,12,11,trece,"thirteen, (number) thirteen",dólar,dollar,menor,"little, younger, youngest",buscar,"to look for, (to) look for, (to) look up",mí,me,,,
155,Spanish,12,12,peso,"(I) weigh out, shot, weight",ti,"you, yourself",familias,families,piano,piano,de compras,shopping,,,
156,Spanish,12,13,dieciséis,sixteen,cierra,"(you) close, (?) does it close, lock",diecinueve,"nineteen, number nineteen",deporte,"sport, sports",me puedo probar,(?) can I try on,,,
157,Spanish,13,1,pueblos,"towns, peoples, small town",conocer,"to meet, know, (to) know",perezoso,lazy,les encanta,"(?) do they love, (they) love, loves",caballo,"horse, horses",,,
158,Spanish,13,2,ayudar,"help, assist, helping",inteligentes,"intelligent, smart",a nosotros,us,enseñar,"(to) teach, teach, taught",normalmente,"normally, usually",,,
159,Spanish,13,3,para ella,in her opinion,alguno,"any, some (people), one",responsable,"responsible, reliable",adulto,adult,sucio,dirty,,,
160,Spanish,13,4,río,"Rio, (I) am laughing, river",a mí,"i, me",llamar,"calling, hails, telephone",a él,he,montar,"riding, (to) ride, ride",,,
161,Spanish,13,5,a ti,you,moreno,"darker, dark-haired, brunette",negro,black,usualmente,"usually, normally",guapo,"good-looking, handsome, dressed-up",,,
162,Spanish,13,6,cuántos años,how old,abierto,"made, open, raised",tiempo,"time, to play for time, weather",parte,"part, leaves, some",aquel,that,,,
163,Spanish,13,7,tenis,"tennis, plimsoll, running shoe",estudioso,studious,rubio,blond,amarillo,yellow,pasar,"passing, go, spending",,,
164,Spanish,13,8,amar,"(to) love, love",conozco,"know, I'm familiar with, (I) know",lugar,"location, place, stood",zoológico,zoo,persona,person,,,
165,Spanish,13,9,limpio,"wash, clearer, I am cleaning",les gusta,"(?) do they like, (they) like, like",para él,in his opinion,conoces,"(you) know, (?) are you familiar with, (?) have you known",gente,"people, good, kind",,,
166,Spanish,13,10,visitar,"(to) visit, visiting, visit",ver,"saw, (to) look, watching",tele,"TV, television, telly",país,"country, land",pelota,ball,,,
167,Spanish,13,11,pueblos,"towns, peoples, small town",conocer,"to meet, know, (to) know",perezoso,lazy,les encanta,"(?) do they love, (they) love, loves",caballo,"horse, horses",,,
168,Spanish,13,12,ayudar,"help, assist, helping",inteligentes,"intelligent, smart",a nosotros,us,enseñar,"(to) teach, teach, taught",normalmente,"normally, usually",,,
169,Spanish,13,13,para ella,in her opinion,alguno,"any, some (people), one",responsable,"responsible, reliable",adulto,adult,sucio,dirty,,,
170,Spanish,14,1,bailar,"(to) dance, how to dance, dancing",te llamamos,(we) call you,me necesita,"(she) needs me, (he) needs me",me enseña,"(she) is teaching me, (he) teaches me, (he) is teaching me",calor,"hot, warm, heat",,,
171,Spanish,14,2,te visitan,(they) visit you,haces,"(you) make, (?) are you doing, made",de verdad,"real, for real, really",nos escuchan,(they) listen to us,veintiuno,"twenty-one, twenty first",,,
172,Spanish,14,3,alemán,German,sed,"thirsty, thirst",te conozco,(I) know you,nos llamas,call us,señoritas,"ladies, girls, young ladies",,,
173,Spanish,14,4,me escucha,"(he) listens to me, (she) listens to me, (you) listen to me",animal,animal,te,"your, you, yourself",me ama,(she) loves me,nos conocen,"(they) know us, they've known us",,,
174,Spanish,14,5,me conoce,"(he) knows me, (you) know me, (she) knows me",nos ayudan,(they) help us,puesto,"(I) have on, put, on",te necesito,(I) need you,sueño,"tired, dream, sleepy",,,
175,Spanish,14,6,almuerzo,"lunch, (I) eat lunch",veinticuatro,twenty-four,hambre,"hunger, hungry",me,"myself, I, me",muñeca,"doll, wrist",,,
176,Spanish,14,7,ganas,"(you) win, (you) earn, make",largo,long,nos compra,"(he) buys us, (she) buys us",me compra,"(she) buys me, (he) is buying me, (he) buys me",me ayudas,"(you) help me, (?) can you help me, (?) will you help me",,,
177,Spanish,14,8,idioma,language,veintiún,twenty-one,jugos,juices,veintitrés,twenty-three,jóvenes,"young, young people, young women",,,
178,Spanish,14,9,pizza,pizza,veinticinco,twenty-five,veintidós,twenty-two,nos,"we, for us, ourselves",me llaman,(they) call me,,,
